company_id,company_name,year,year_num,capital_allocation
ABB,Abbott India Ltd,Dec 2012,2012,Reinvestor
ABB,Abbott India Ltd,Mar 2014,2014,Reinvestor
ABB,Abbott India Ltd,Mar 2015,2015,Reinvestor
ABB,Abbott India Ltd,Mar 2016,2016,Reinvestor
ABB,Abbott India Ltd,Mar 2017,2017,Shareholder Returns
ABB,Abbott India Ltd,Mar 2018,2018,Reinvestor
ABB,Abbott India Ltd,Mar 2019,2019,Shareholder Returns
ABB,Abbott India Ltd,Mar 2020,2020,Shareholder Returns
ABB,Abbott India Ltd,Mar 2021,2021,Shareholder Returns
ABB,Abbott India Ltd,Mar 2022,2022,Shareholder Returns
ABB,Abbott India Ltd,Mar 2023,2023,Reinvestor
ABB,Abbott India Ltd,Mar 2024,2024,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2014,2014,Cash Accumulator
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2015,2015,Growth Funded by Debt
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2016,2016,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2017,2017,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2018,2018,Mixed
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2019,2019,Mixed
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2020,2020,Mixed
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2021,2021,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2022,2022,Shareholder Returns
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2023,2023,Mixed
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2024,2024,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,Mar 2013,2013,Mixed
ADANIENT,Adani Enterprises Ltd,Mar 2014,2014,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,Mar 2015,2015,Mixed
ADANIENT,Adani Enterprises Ltd,Mar 2016,2016,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,Mar 2017,2017,Mixed
ADANIENT,Adani Enterprises Ltd,Mar 2018,2018,Mixed
ADANIENT,Adani Enterprises Ltd,Mar 2019,2019,Liquidating Assets
ADANIENT,Adani Enterprises Ltd,Mar 2020,2020,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,Mar 2021,2021,Mixed
ADANIENT,Adani Enterprises Ltd,Mar 2022,2022,Mixed
ADANIENT,Adani Enterprises Ltd,Mar 2023,2023,Shareholder Returns
ADANIENT,Adani Enterprises Ltd,Mar 2024,2024,Mixed
ADANIGREEN,Adani Green Energy Ltd,Mar 2017,2017,Mixed
ADANIGREEN,Adani Green Energy Ltd,Mar 2018,2018,Mixed
ADANIGREEN,Adani Green Energy Ltd,Mar 2019,2019,Mixed
ADANIGREEN,Adani Green Energy Ltd,Mar 2020,2020,Mixed
ADANIGREEN,Adani Green Energy Ltd,Mar 2021,2021,Mixed
ADANIGREEN,Adani Green Energy Ltd,Mar 2022,2022,Mixed
ADANIGREEN,Adani Green Energy Ltd,Mar 2023,2023,Shareholder Returns
ADANIGREEN,Adani Green Energy Ltd,Mar 2024,2024,Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2013,2013,Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2014,2014,Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2015,2015,Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2016,2016,Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2017,2017,Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2018,2018,Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2019,2019,Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2020,2020,Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2021,2021,Mixed
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2022,2022,Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2023,2023,Shareholder Returns
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,Mar 2024,2024,Shareholder Returns
ADANIPOWER,Adani Power Ltd,Mar 2013,2013,Mixed
ADANIPOWER,Adani Power Ltd,Mar 2014,2014,Mixed
ADANIPOWER,Adani Power Ltd,Mar 2015,2015,Reinvestor
ADANIPOWER,Adani Power Ltd,Mar 2016,2016,Shareholder Returns
ADANIPOWER,Adani Power Ltd,Mar 2017,2017,Reinvestor
ADANIPOWER,Adani Power Ltd,Mar 2018,2018,Reinvestor
ADANIPOWER,Adani Power Ltd,Mar 2019,2019,Reinvestor
ADANIPOWER,Adani Power Ltd,Mar 2020,2020,Reinvestor
ADANIPOWER,Adani Power Ltd,Mar 2021,2021,Shareholder Returns
ADANIPOWER,Adani Power Ltd,Mar 2022,2022,Liquidating Assets
ADANIPOWER,Adani Power Ltd,Mar 2023,2023,Liquidating Assets
ADANIPOWER,Adani Power Ltd,Mar 2024,2024,Liquidating Assets
AGTL,AGTL,Mar 2018,2018,Mixed
AGTL,AGTL,Mar 2019,2019,Liquidating Assets
AGTL,AGTL,Mar 2020,2020,Reinvestor
AGTL,AGTL,Mar 2021,2021,Mixed
AGTL,AGTL,Mar 2022,2022,Mixed
