company_id,company_name,sector,metric,value,z_score
ADANIGREEN,Adani Green Energy Ltd,Energy,debt_to_equity,6.6,3.15
PNB,Punjab National Bank,Financials,return_on_equity_pct,61.32,3.33
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,net_profit_margin_pct,432.73,4.49
HDFCBANK,HDFC Bank Ltd,Financials,operating_profit_margin_pct,-44685.0,-3.7
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,interest_coverage,3764.5,3.58
PNB,Punjab National Bank,Financials,asset_turnover,1.51,4.33
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,earnings_per_share,653.0,4.26
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,return_on_equity_pct,892.57,3.6
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,operating_profit_margin_pct,16331.0,3.43
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,asset_turnover,56.39,3.6
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,free_cash_flow_cr,45133.0,3.35
BOSCHLTD,Bosch Ltd,Consumer Discretionary,earnings_per_share,844.0,3.06
