KPI,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.36,11.61,16.27,26.08,48.4,125.07,640.62
net_profit_margin_pct,4.6,7.22,14.12,20.38,29.33,20.12,45.68
operating_profit_margin_pct,8.9,14.0,24.0,49.25,4146.6,903.23,8467.65
debt_to_equity,0.01,0.05,0.44,1.62,6.47,1.68,2.88
interest_coverage,1.67,3.31,11.36,58.33,193.59,128.84,491.09
asset_turnover,0.07,0.21,0.67,1.14,1.67,3.54,15.93
free_cash_flow_cr,-14847.2,-1340.0,1095.0,8164.0,20818.1,709.48,23312.37
earnings_per_share,6.9,16.0,41.5,73.75,158.2,82.39,139.15
revenue_cagr_5yr,6.39,8.42,11.84,17.05,20.99,12.84,7.33
pat_cagr_5yr,4.28,9.53,16.28,23.46,38.14,20.36,20.66
